SITENAME,Date,Type,mean_mgC/g,mean_mgN/g,mean_ugP/g
SRS3,2006-03-01,Belowground,10.67,10.67,537.667
SRS3,2007-03-01,Aboveground,8.66,8.66,242
SRS3,2007-03-01,Belowground,9.18,9.18,184.333
SRS3,2008-03-01,Aboveground,7.35,7.35,244.667
SRS3,2008-03-01,Belowground,5.51,5.51,131.333
SRS3,2009-03-01,Aboveground,6.91,6.91,207
SRS3,2009-03-01,Belowground,6.38,6.38,240
SRS3,2010-03-01,Aboveground,6.83,6.83,301.228
SRS3,2010-03-01,Belowground,8.97,8.97,395.185
SRS3,2011-03-01,Aboveground,6.81,6.81,269.912
SRS3,2011-03-01,Belowground,5.4,5.4,243.744
SRS3,2012-03-01,Aboveground,5.71,5.71,261.662
SRS3,2012-03-01,Belowground,6.47,6.47,440.2
SRS3,2013-03-01,Aboveground,7.26,7.26,449.573
SRS3,2013-03-01,Belowground,12.4,12.4,1025.948
SRS3,2014-03-01,Aboveground,8.12,8.12,488.943
SRS3,2014-03-01,Belowground,11.03,11.03,690.298
SRS3,2015-03-01,Aboveground,6.78,6.78,275.404
SRS3,2015-03-01,Belowground,5.95,5.95,320.352
SRS3,2016-03-01,Aboveground,7.13,7.13,411.662
SRS3,2016-03-01,Belowground,6.17,6.17,428.063
SRS3,2017-03-01,Aboveground,7.15,7.15,408.179
SRS3,2017-03-01,Belowground,7.6,7.6,495.973
SRS3,2018-03-01,Aboveground,5.33,5.33,316.63
SRS3,2018-03-01,Belowground,5.55,5.55,927.32
SRS3,2019-03-01,Aboveground,6.74,6.74,254.473
SRS3,2019-03-01,Belowground,8.02,8.02,491.777
SRS3,2020-03-01,Aboveground,7.22,7.22,419.326
SRS3,2020-03-01,Belowground,7.66,7.66,553.847
SRS3,2021-03-01,Aboveground,6.8,6.8,247.359
SRS3,2021-03-01,Belowground,7.42,7.42,395.367
SRS3,2022-03-01,Aboveground,6.13,6.13,262.513
SRS3,2022-03-01,Belowground,6.33,6.33,216.631
SRS3,2023-03-01,Aboveground,7.57,7.57,257.919
SRS3,2023-03-01,Belowground,5.72,5.72,157.353
TS/Ph1b,2002-03-01,Aboveground,7.49,7.49,235.234
TS/Ph1b,2002-03-01,Belowground,5.82,5.82,131.123
TS/Ph1b,2003-03-01,Aboveground,9.34,9.34,284.333
TS/Ph1b,2003-03-01,Belowground,5.92,5.92,103.333
TS/Ph1b,2004-03-01,Aboveground,8.65,8.65,324.353
TS/Ph1b,2004-03-01,Belowground,5.99,5.99,199.356
TS/Ph1b,2005-04-01,Aboveground,8.73,8.73,257
TS/Ph1b,2005-04-01,Belowground,8.22,8.22,346
TS/Ph1b,2006-03-01,Aboveground,8.78,8.78,251.333
TS/Ph1b,2006-03-01,Belowground,7.17,7.17,233.5
TS/Ph1b,2007-03-01,Aboveground,8.6,8.6,199.667
TS/Ph1b,2007-03-01,Belowground,6.75,6.75,102.667
TS/Ph1b,2008-03-01,Aboveground,7.6,7.6,278.667
TS/Ph1b,2008-03-01,Belowground,6.69,6.69,229.667
TS/Ph1b,2009-03-01,Aboveground,7.31,7.31,249.667
TS/Ph1b,2009-03-01,Belowground,4.08,4.08,119
TS/Ph1b,2010-03-01,Aboveground,6.29,6.29,176
TS/Ph1b,2010-03-01,Belowground,7.83,7.83,207
TS/Ph1b,2011-03-01,Aboveground,7.58,7.58,253.012
TS/Ph1b,2011-03-01,Belowground,5.69,5.69,111.737
TS/Ph1b,2012-03-01,Aboveground,10.16,10.16,238.139
TS/Ph1b,2012-03-01,Belowground,9.52,9.52,188.926
TS/Ph1b,2013-03-01,Aboveground,6.92,6.92,270.001
TS/Ph1b,2013-03-01,Belowground,7.4,7.4,248.793
TS/Ph1b,2014-03-01,Aboveground,7.16,7.16,289.229
TS/Ph1b,2014-03-01,Belowground,5.81,5.81,273.626
TS/Ph1b,2015-03-01,Aboveground,9.35,9.35,324.229
TS/Ph1b,2015-03-01,Belowground,5.75,5.75,176.934
TS/Ph1b,2016-03-01,Aboveground,8.29,8.29,163.657
TS/Ph1b,2016-03-01,Belowground,5.3,5.3,185.612
TS/Ph1b,2017-03-01,Aboveground,10.86,10.86,342.55
TS/Ph1b,2017-03-01,Belowground,7.25,7.25,235.376
TS/Ph1b,2018-03-01,Aboveground,2.7,2.7,304.561
TS/Ph1b,2018-03-01,Belowground,5.03,5.03,275.613
TS/Ph1b,2019-03-01,Aboveground,7.58,7.58,287.956
TS/Ph1b,2019-03-01,Belowground,4.56,4.56,184.942
TS/Ph1b,2020-03-01,Aboveground,8.11,8.11,198.053
TS/Ph1b,2020-03-01,Belowground,7.05,7.05,233.379
TS/Ph1b,2021-03-01,Aboveground,6.52,6.52,212.092
TS/Ph1b,2021-03-01,Belowground,8,8,219.366
TS/Ph1b,2022-03-01,Aboveground,8.27,8.27,224.695
TS/Ph1b,2022-03-01,Belowground,5.53,5.53,236.174
TS/Ph1b,2023-03-01,Aboveground,10.61,10.61,235.354
TS/Ph1b,2023-03-01,Belowground,7.43,7.43,192.541
TS/Ph2,2002-03-01,Aboveground,6.62,6.62,260.786
TS/Ph2,2002-03-01,Belowground,6.58,6.58,186.053
TS/Ph2,2003-03-01,Aboveground,9.86,9.86,309.333
TS/Ph2,2003-03-01,Belowground,7.93,7.93,167
TS/Ph2,2004-03-01,Aboveground,7.36,7.36,337.636
TS/Ph2,2004-03-01,Belowground,7.17,7.17,278.28
TS/Ph2,2005-04-01,Aboveground,8.23,8.23,282.667
TS/Ph2,2005-04-01,Belowground,8.39,8.39,543.667
TS/Ph2,2006-03-01,Aboveground,7.07,7.07,256.333
TS/Ph2,2006-03-01,Belowground,7.21,7.21,232.667
TS/Ph2,2007-03-01,Aboveground,8.13,8.13,227
TS/Ph2,2007-03-01,Belowground,7.39,7.39,228.667
TS/Ph2,2008-03-01,Aboveground,7.99,7.99,233
TS/Ph2,2008-03-01,Belowground,4.99,4.99,119.667
TS/Ph2,2009-03-01,Aboveground,9.03,9.03,279.333
TS/Ph2,2009-03-01,Belowground,3.88,3.88,112.667
TS/Ph2,2010-03-01,Aboveground,6.88,6.88,287.667
TS/Ph2,2010-03-01,Belowground,8.55,8.55,440
TS/Ph2,2011-03-01,Aboveground,7.94,7.94,371.791
TS/Ph2,2011-03-01,Belowground,5.96,5.96,212.728
TS/Ph2,2012-03-01,Aboveground,10.37,10.37,291.548
TS/Ph2,2012-03-01,Belowground,8.15,8.15,361.965
TS/Ph2,2013-03-01,Aboveground,5.64,5.64,268.469
TS/Ph2,2013-03-01,Belowground,7.36,7.36,335.018
TS/Ph2,2014-03-01,Aboveground,5.42,5.42,288.019
TS/Ph2,2014-03-01,Belowground,6.46,6.46,422.805
TS/Ph2,2015-03-01,Aboveground,10.24,10.24,476.673
TS/Ph2,2015-03-01,Belowground,6.84,6.84,428.432
TS/Ph2,2016-03-01,Aboveground,7.32,7.32,256.831
TS/Ph2,2016-03-01,Belowground,4.94,4.94,163.49
TS/Ph2,2017-03-01,Aboveground,10.74,10.74,420.089
TS/Ph2,2017-03-01,Belowground,9.76,9.76,666.115
TS/Ph2,2018-03-01,Aboveground,5.56,5.56,373.322
TS/Ph2,2018-03-01,Belowground,5.97,5.97,280.936
TS/Ph2,2019-03-01,Aboveground,6.55,6.55,303.194
TS/Ph2,2019-03-01,Belowground,6.42,6.42,472.885
TS/Ph2,2020-03-01,Aboveground,8.27,8.27,222.105
TS/Ph2,2020-03-01,Belowground,8.48,8.48,393.564
TS/Ph2,2021-03-01,Aboveground,5.93,5.93,227.254
TS/Ph2,2021-03-01,Belowground,6.42,6.42,470.263
TS/Ph2,2022-03-01,Aboveground,7.14,7.14,355.144
TS/Ph2,2022-03-01,Belowground,6.77,6.77,283.393
TS/Ph2,2023-03-01,Aboveground,9.17,9.17,210.406
TS/Ph2,2023-03-01,Belowground,7.78,7.78,222.968
TS/Ph3,2002-03-01,Aboveground,8.17,8.17,263.383
TS/Ph3,2002-03-01,Belowground,7.67,7.67,196.785
TS/Ph3,2003-03-01,Aboveground,9.19,9.19,284.667
TS/Ph3,2003-03-01,Belowground,6.37,6.37,159.333
TS/Ph3,2004-03-01,Aboveground,6.95,6.95,312.222
TS/Ph3,2004-03-01,Belowground,8.3,8.3,191
TS/Ph3,2005-04-01,Aboveground,6.97,6.97,171.667
TS/Ph3,2005-04-01,Belowground,6.75,6.75,317.667
TS/Ph3,2006-03-01,Aboveground,8.61,8.61,290.333
TS/Ph3,2006-03-01,Belowground,10.8,10.8,234.333
TS/Ph3,2007-02-01,Aboveground,9.71,9.71,214.333
TS/Ph3,2007-02-01,Belowground,8.84,8.84,140
TS/Ph3,2008-03-01,Aboveground,7.78,7.78,223
TS/Ph3,2008-03-01,Belowground,10.63,10.63,200.667
TS/Ph3,2009-03-01,Aboveground,5.54,5.54,205.667
TS/Ph3,2009-03-01,Belowground,3.92,3.92,145.333
TS/Ph3,2010-03-01,Aboveground,6.69,6.69,234.667
TS/Ph3,2010-03-01,Belowground,12.5,12.5,262
TS/Ph3,2011-03-01,Aboveground,7.33,7.33,236.353
TS/Ph3,2011-03-01,Belowground,8.19,8.19,255.353
TS/Ph3,2012-03-01,Aboveground,9.5,9.5,218.267
TS/Ph3,2012-03-01,Belowground,9.07,9.07,129.761
TS/Ph3,2013-03-01,Aboveground,7.04,7.04,300.927
TS/Ph3,2013-03-01,Belowground,10.09,10.09,238.004
TS/Ph3,2014-03-01,Aboveground,8.43,8.43,386.837
TS/Ph3,2014-03-01,Belowground,13.64,13.64,637.377
TS/Ph3,2015-03-01,Aboveground,7.76,7.76,321.074
TS/Ph3,2015-03-01,Belowground,6.21,6.21,129.442
TS/Ph3,2016-03-01,Aboveground,8.19,8.19,228.969
TS/Ph3,2016-03-01,Belowground,8.11,8.11,211.312
TS/Ph3,2017-03-01,Aboveground,11.48,11.48,453.058
TS/Ph3,2017-03-01,Belowground,10.47,10.47,475.085
TS/Ph3,2018-03-01,Aboveground,12.8,12.8,500.658
TS/Ph3,2018-03-01,Belowground,9.51,9.51,708.38
TS/Ph3,2019-05-01,Aboveground,8.23,8.23,316.961
TS/Ph3,2019-05-01,Belowground,7.44,7.44,425.632
TS/Ph3,2020-03-01,Aboveground,8.43,8.43,232.613
TS/Ph3,2020-03-01,Belowground,6.93,6.93,186.834
TS/Ph3,2021-03-01,Aboveground,6.91,6.91,220.307
TS/Ph3,2021-03-01,Belowground,8.47,8.47,363.868
TS/Ph3,2022-03-01,Aboveground,6.74,6.74,196.253
TS/Ph3,2022-03-01,Belowground,8.21,8.21,215.802
TS/Ph3,2023-03-01,Aboveground,11.2,11.2,291.188
TS/Ph3,2023-03-01,Belowground,10.48,10.48,275.926
TS/Ph4,2002-04-01,Aboveground,5.97,5.97,188.723
TS/Ph4,2002-04-01,Belowground,6.35,6.35,138.759
TS/Ph4,2003-04-01,Aboveground,9.11,9.11,269.333
TS/Ph4,2003-04-01,Belowground,6.61,6.61,256.667
TS/Ph4,2004-04-01,Aboveground,8.15,8.15,284.626
TS/Ph4,2004-04-01,Belowground,4.61,4.61,170.61
TS/Ph4,2005-04-01,Aboveground,8.28,8.28,243
TS/Ph4,2005-04-01,Belowground,5.98,5.98,260.333
TS/Ph4,2006-03-01,Aboveground,9.38,9.38,202.333
TS/Ph4,2006-03-01,Belowground,5.25,5.25,118.667
TS/Ph5,2002-04-01,Aboveground,6.16,6.16,242.419
TS/Ph5,2002-04-01,Belowground,5.13,5.13,171.095
TS/Ph5,2003-04-01,Aboveground,8.08,8.08,260.667
TS/Ph5,2003-04-01,Belowground,6.79,6.79,291
TS/Ph5,2004-04-01,Aboveground,8.02,8.02,258.52
TS/Ph5,2004-04-01,Belowground,6.56,6.56,238.521
TS/Ph5,2005-04-01,Aboveground,7.25,7.25,192
TS/Ph5,2005-04-01,Belowground,5.56,5.56,123
TS/Ph5,2006-04-01,Aboveground,8.53,8.53,227
TS/Ph5,2006-04-01,Belowground,6.35,6.35,207.333
TS/Ph6b,2002-03-01,Aboveground,8.31,8.31,338.795
TS/Ph6b,2002-03-01,Belowground,9.75,9.75,418.63
TS/Ph6b,2003-03-01,Aboveground,11.67,11.67,374
TS/Ph6b,2003-03-01,Belowground,8.27,8.27,283.333
TS/Ph6b,2004-03-01,Aboveground,6.24,6.24,323.088
TS/Ph6b,2004-03-01,Belowground,5.35,5.35,142.333
TS/Ph6b,2005-04-01,Aboveground,8.46,8.46,223
TS/Ph6b,2005-04-01,Belowground,6.35,6.35,201.667
TS/Ph6b,2006-03-01,Aboveground,7.34,7.34,236
TS/Ph6b,2006-03-01,Belowground,5.95,5.95,382.333
TS/Ph6b,2007-03-01,Aboveground,8.75,8.75,263.333
TS/Ph6b,2007-03-01,Belowground,7.77,7.77,246
TS/Ph6b,2008-03-01,Aboveground,8.49,8.49,325.667
TS/Ph6b,2008-03-01,Belowground,6.79,6.79,391.667
TS/Ph6b,2009-03-01,Aboveground,6.59,6.59,225.667
TS/Ph6b,2009-03-01,Belowground,4.66,4.66,198.333
TS/Ph6b,2010-03-01,Aboveground,9.42,9.42,315.333
TS/Ph6b,2010-03-01,Belowground,8.4,8.4,262.667
TS/Ph6b,2011-03-01,Aboveground,9.25,9.25,368.701
TS/Ph6b,2011-03-01,Belowground,3.35,3.35,180.071
TS/Ph6b,2012-03-01,Aboveground,9.68,9.68,292.849
TS/Ph6b,2012-03-01,Belowground,6.15,6.15,362.962
TS/Ph6b,2013-03-01,Aboveground,8.15,8.15,358.24
TS/Ph6b,2013-03-01,Belowground,6.06,6.06,542.212
TS/Ph6b,2014-03-01,Aboveground,7.35,7.35,204.486
TS/Ph6b,2014-03-01,Belowground,4.18,4.18,174.57
TS/Ph6b,2015-03-01,Aboveground,9.99,9.99,266.338
TS/Ph6b,2015-03-01,Belowground,5.56,5.56,168.738
TS/Ph6b,2016-03-01,Aboveground,10.38,10.38,263.767
TS/Ph6b,2016-03-01,Belowground,7.68,7.68,198.177
TS/Ph6b,2017-03-01,Aboveground,8.51,8.51,264.144
TS/Ph6b,2017-03-01,Belowground,5.55,5.55,215.2
TS/Ph6b,2018-03-01,Aboveground,9.65,9.65,336.94
TS/Ph6b,2018-03-01,Belowground,6.28,6.28,323.153
TS/Ph6b,2019-04-01,Aboveground,7.38,7.38,329.953
TS/Ph6b,2019-04-01,Belowground,4.39,4.39,269.754
TS/Ph6b,2020-03-01,Aboveground,6.56,6.56,195.348
TS/Ph6b,2020-03-01,Belowground,5.01,5.01,166.383
TS/Ph6b,2021-03-01,Aboveground,6.86,6.86,230.252
TS/Ph6b,2021-03-01,Belowground,5.15,5.15,213.405
TS/Ph6b,2022-04-01,Aboveground,6.97,6.97,171.58
TS/Ph6b,2022-04-01,Belowground,8.55,8.55,192.794
TS/Ph6b,2023-04-01,Aboveground,9.28,9.28,246.873
TS/Ph6b,2023-04-01,Belowground,8.61,8.61,354.968
